Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.098,0.03,1.024,0.13,0.98,-4.94,1.01,-5.76,1.39,43.13,-52.1,-34.12,50.38098526
0.095,0.035,1.026,0.51,0.09,-4.8,1.12,-5.72,0.93,45.76,-50.76,-35.49,47.96542739
0.088,0.016,0.991,0.83,-0.58,-4.92,1.22,-5.69,0.47,45.76,-50.76,-35.49,47.96542739
0.089,0.013,0.977,0.79,-0.5,-4.93,1.32,-5.68,0,43.54,-51.34,-36.47,49.69966653
0.093,0.014,0.991,0.36,-0.7,-4.86,1.39,-5.69,-0.48,44.75,-51.34,-37.25,48.92328941
0.098,0.021,0.978,-0.3,-0.4,-4.89,1.44,-5.71,-0.98,44.75,-51.34,-37.25,48.92328941
0.089,0.026,1.013,-0.32,-0.41,-5.18,1.47,-5.74,-1.48,44.75,-51.34,-37.25,48.92328941
0.103,0.029,0.975,-0.37,-0.01,-5.12,1.46,-5.74,-1.98,42.93,-51.53,-35.49,50.20208541
0.09,0.032,0.978,-1.06,0.19,-4.85,1.43,-5.72,-2.48,44.95,-50.38,-36.67,48.26004689
0.078,0.005,0.948,-0.99,-0.03,-5.17,1.36,-5.68,-2.97,44.95,-49.24,-35.1,47.60780485
0.094,0.021,1.012,-1.09,-0.62,-5.1,1.29,-5.65,-3.46,45.35,-48.85,-36.27,47.12784528
0.112,0.031,1.04,-2.24,0.76,-4.97,1.22,-5.63,-3.96,45.35,-48.85,-36.27,47.12784528
0.071,0.002,0.955,-0.27,-0.56,-5.55,1.15,-5.63,-4.47,44.34,-50.19,-37.25,48.54123985
0.097,0.012,1.041,-0.45,-1.13,-5.65,1.08,-5.65,-4.99,44.14,-49.62,-35.88,48.34496669
0.12,0.019,1.075,-0.72,-0.19,-5.51,1.05,-5.68,-5.53,44.75,-50.57,-35.69,48.49399893
0.084,-0.001,0.955,-0.26,0.1,-5.43,1.05,-5.71,-6.08,44.95,-48.85,-36.67,47.38086259
0.064,-0.016,0.923,1.15,-1.79,-5.78,1.09,-5.75,-6.64,44.95,-48.85,-36.67,47.38086259
0.088,0,0.936,-0.98,1.21,-5.67,1.16,-5.75,-7.2,44.95,-48.85,-36.67,47.38086259
0.114,0.028,0.964,-0.33,2.07,-5.6,1.24,-5.74,-7.77,46.16,-48.09,-36.27,46.17310771
0.143,0.051,1.083,-0.17,0.57,-5.66,1.34,-5.73,-8.33,43.54,-48.66,-36.08,48.17845341
0.109,0.028,1.08,0.86,-0.88,-5.52,1.43,-5.71,-8.88,43.74,-46.94,-35.49,47.02106797
0.081,0.023,1.013,1.13,-2.12,-5.76,1.51,-5.69,-9.44,43.74,-46.94,-35.49,47.02106797
0.052,-0.003,0.918,0,-0.34,-5.82,1.57,-5.71,-10.02,43.94,-47.13,-35.69,47.00613637
0.083,0.01,0.931,-0.78,0.72,-5.66,1.61,-5.71,-10.6,44.34,-46.75,-36.08,46.51554093
0.13,0.043,1.054,-0.91,1.11,-5.41,1.63,-5.73,-11.17,42.73,-45.98,-38.04,47.09816299
0.137,0.047,1.062,-0.34,0.14,-5.81,1.66,-5.74,-11.74,42.73,-45.98,-38.04,47.09816299
0.131,0.047,1.042,0.19,-0.39,-5.73,1.68,-5.74,-12.32,42.93,-45.41,-35.1,46.60806228
0.066,-0.003,0.906,1.34,-2.32,-5.72,1.69,-5.71,-12.88,45.56,-46.75,-36.86,45.73857871
0.098,0.023,0.996,-0.16,0.39,-5.93,1.71,-5.65,-13.44,45.56,-46.75,-36.86,45.73857871
0.081,0.006,0.963,-0.26,0.27,-5.69,1.71,-5.57,-14.01,43.54,-45.6,-37.65,46.3238535
0.109,0.023,1.037,-0.53,1.3,-5.89,1.7,-5.49,-14.57,43.54,-45.6,-37.65,46.3238535
0.093,0.016,0.988,-0.39,-0.26,-5.84,1.69,-5.41,-15.15,44.14,-45.41,-35.88,45.81251549
0.105,0.03,1.043,-0.67,0.58,-6.13,1.69,-5.34,-15.73,41.92,-46.37,-37.25,47.88538503
0.088,0.017,0.998,-0.63,0.4,-6.13,1.68,-5.31,-16.33,44.95,-44.26,-34.71,44.55685126
0.034,-0.008,0.926,1.1,-2.49,-6.27,1.66,-5.31,-16.94,42.93,-44.26,-38.24,45.8739245
0.134,0.04,1.068,-1.86,0.55,-6.09,1.66,-5.35,-17.56,42.93,-44.26,-38.24,45.8739245
0.108,0.035,1.064,-0.85,-0.99,-6.13,1.67,-5.41,-18.17,43.74,-44.26,-37.45,45.33856203
0.107,0.028,1.087,0.15,-1.43,-6.45,1.69,-5.49,-18.78,43.74,-44.26,-37.45,45.33856203
0.03,-0.02,0.932,1.58,-1.8,-6.38,1.73,-5.53,-19.4,41.72,-41.97,-36.67,45.17115429
0.069,0.003,0.922,0.17,0.06,-6.24,1.78,-5.55,-20.01,41.72,-41.97,-36.67,45.17115429
0.087,0.016,0.956,-0.41,0.64,-5.98,1.85,-5.55,-20.62,43.74,-41.97,-35.88,43.81695115
0.14,0.054,1.06,-1.02,1.19,-6.05,1.91,-5.53,-21.24,43.13,-41.78,-35.69,44.08912041
0.141,0.044,1.112,-0.16,0.26,-6.56,1.97,-5.5,-21.86,41.31,-41.97,-35.1,45.45406367
0.067,0.007,0.994,0.24,-0.53,-6.54,2.02,-5.48,-22.5,42.93,-40.82,-38.24,43.55679372
0.049,-0.007,0.987,1.13,-2.36,-6.39,2.06,-5.48,-23.14,42.93,-40.82,-38.24,43.55679372
0.04,-0.019,0.928,0.38,-1.92,-6.76,2.07,-5.49,-23.78,42.12,-41.97,-35.88,44.89779572
0.127,0.046,0.967,-2.03,1.65,-6.54,2.07,-5.53,-24.44,42.12,-41.97,-35.88,44.89779572
0.136,0.044,1.073,-1.45,0.88,-6.26,2.06,-5.56,-25.09,41.31,-41.59,-35.88,45.19351939
0.124,0.041,1.059,-1.03,0.52,-6.32,2.06,-5.55,-25.74,41.31,-41.59,-35.88,45.19351939
0.055,-0.01,0.952,0.51,-1.13,-6.77,2.05,-5.51,-26.39,41.31,-41.59,-35.88,45.19351939
0.042,-0.018,0.879,0.07,0.22,-6.59,2.04,-5.42,-27.04,43.13,-40.63,-35.69,43.29038997
0.133,0.043,1.049,-1.81,2.43,-6.74,2.03,-5.31,-27.72,42.73,-39.87,-36.47,43.0169432
0.118,0.035,1.055,-1.05,1.7,-7.19,2.02,-5.2,-28.39,43.13,-41.01,-36.86,43.55667509
0.126,0.054,1.079,-0.5,-0.12,-7.04,2.01,-5.11,-29.08,43.13,-41.01,-36.86,43.55667509
0.061,0.002,1,0.08,-0.56,-6.75,2.03,-5.08,-29.77,43.13,-41.01,-36.86,43.55667509
0.055,0.006,0.954,0.45,-2.72,-6.99,2.05,-5.09,-30.46,41.92,-39.87,-34.51,43.56422837
0.054,0.003,0.963,1.17,-3.18,-6.81,2.09,-5.15,-31.14,41.52,-38.34,-36.08,42.71970485
0.073,-0.007,0.931,-0.42,0.33,-6.61,2.15,-5.23,-31.8,41.11,-37.95,-36.08,42.71112649
0.069,-0.003,0.887,-0.34,-0.27,-6.45,2.21,-5.31,-32.45,41.11,-37.95,-36.08,42.71112649
0.086,0.008,0.941,0.52,-0.77,-6.6,2.28,-5.35,-33.11,40.51,-38.15,-35.88,43.28149645
0.1,0.023,0.975,0.2,0.21,-6.87,2.34,-5.36,-33.76,39.29,-38.15,-36.27,44.15660549
0.105,0.035,0.975,-0.07,0.2,-6.68,2.38,-5.33,-34.43,40.51,-37.76,-36.67,42.98775256
0.103,0.03,0.998,-0.47,0.75,-7.19,2.39,-5.26,-35.12,40.1,-37,-34.71,42.69751888
0.087,0.022,0.965,-0.25,0.03,-7.37,2.35,-5.2,-35.82,40.1,-37,-34.71,42.69751888
0.086,0.024,1.006,-0.51,0.29,-7.19,2.33,-5.13,-36.53,40.71,-37.19,-35.29,42.412785
0.097,0.018,1.03,-0.52,0.27,-6.9,2.3,-5.08,-37.23,38.48,-35.85,-35.88,42.97356299
0.103,0.035,0.986,-1.06,-0.47,-7.01,2.26,-5.09,-37.92,38.28,-36.04,-34.9,43.27363153
0.107,0.018,0.999,-1.16,-0.8,-6.61,2.19,-5.15,-38.6,38.48,-36.62,-36.27,43.58124677
0.102,0.019,1.02,-1.18,-1.21,-7.04,2.13,-5.24,-39.28,38.48,-36.62,-36.27,43.58124677
0.097,0.031,0.978,-1,-1.82,-6.97,2.06,-5.35,-39.95,38.48,-36.62,-36.27,43.58124677
0.107,0.04,0.972,-0.89,-1.19,-6.58,2.03,-5.47,-40.63,36.87,-34.7,-35.88,43.26332593
0.114,-0.013,0.971,0.07,-0.79,-6.67,2,-5.56,-41.3,37.68,-34.7,-35.1,42.64237294
0.094,0.036,0.947,-0.65,-0.6,-7.44,2,-5.61,-41.99,39.09,-32.6,-35.29,39.82718996
0.09,0.025,0.935,-0.8,-0.53,-7.21,2.02,-5.61,-42.68,39.09,-32.6,-35.29,39.82718996
0.101,0.028,0.998,-0.18,0.58,-7.06,2.05,-5.58,-43.36,35.66,-33.56,-34.71,43.26229063
0.098,0.02,0.953,0.36,0.06,-7.12,2.1,-5.52,-44.05,38.48,-33.56,-36.67,41.09302915
0.101,0.035,0.996,0.24,0.17,-6.83,2.18,-5.45,-44.75,36.26,-33.75,-36.08,42.94670994
0.106,0.02,0.999,0.29,0.57,-7.03,2.23,-5.39,-45.46,36.26,-33.75,-36.08,42.94670994
0.114,0.034,0.992,-0.27,0.49,-7.28,2.27,-5.35,-46.18,36.26,-33.75,-36.08,42.94670994
0.099,0.016,1.012,0.21,0.14,-7.18,2.31,-5.31,-46.89,37.07,-32.6,-35.29,41.32895687
0.111,0.028,0.995,-0.32,-0.17,-7.48,2.34,-5.29,-47.62,35.86,-32.22,-34.12,41.93950872
0.1,0.026,0.98,-0.26,-0.32,-7.28,2.34,-5.29,-48.33,37.07,-31.45,-35.29,40.31110453
0.104,0.035,0.98,-0.34,-0.32,-6.98,2.36,-5.29,-49.04,37.07,-31.45,-35.29,40.31110453
0.108,0.019,0.989,-0.29,-0.04,-7.16,2.34,-5.32,-49.74,37.07,-31.45,-35.29,40.31110453
0.105,0.033,0.998,-0.43,0.36,-7.02,2.34,-5.32,-50.45,35.66,-32.03,-35.1,41.93034943
0.104,0.018,1.004,-0.39,-0.24,-7.25,2.35,-5.31,-51.15,35.66,-32.03,-35.1,41.93034943
0.103,0.058,0.952,-0.55,-0.1,-7.21,2.32,-5.32,-51.86,33.84,-32.22,-33.73,43.59520795
0.099,0,0.998,0.2,0.05,-7.4,2.33,-5.32,-52.58,33.84,-32.22,-33.73,43.59520795
0.1,0.004,1.046,-0.16,-0.27,-7.48,2.31,-5.31,-53.28,33.84,-32.22,-33.73,43.59520795
0.101,0.003,1.044,-0.32,-0.48,-7.58,2.3,-5.34,-53.99,34.04,-30.5,-33.53,41.86048923
0.09,0.041,1.019,-0.7,-1.12,-6.81,2.31,-5.37,-54.69,33.84,-29.92,-34.12,41.48185209
0.097,0.012,0.979,-0.05,-1.02,-7.22,2.31,-5.43,-55.4,33.43,-29.16,-34.51,41.09722832
0.094,0.024,1.043,-0.32,-0.22,-7.22,2.34,-5.47,-56.12,33.43,-29.16,-34.51,41.09722832
0.113,0.001,0.945,0.16,-0.35,-7.25,2.37,-5.51,-56.83,33.43,-29.16,-34.51,41.09722832
0.106,0.018,0.99,-0.58,0.05,-7.59,2.41,-5.51,-57.56,32.42,-29.73,-35.88,42.52164907
0.102,0.025,1.053,-0.39,0.62,-7.31,2.44,-5.48,-58.29,32.42,-29.73,-35.88,42.52164907
0.103,0.024,1.049,-0.31,0.96,-7.48,2.47,-5.41,-59,32.42,-29.73,-35.88,42.52164907
0.122,0.026,1.089,-0.33,1.3,-7.04,2.49,-5.31,-59.71,31.21,-27.82,-34.71,41.71320369
0.107,0.023,1.062,-0.09,0.32,-6.79,2.51,-5.22,-60.4,31.21,-27.82,-34.71,41.71320369
0.094,0.04,1.078,-0.75,0.33,-7.34,2.54,-5.13,-61.09,30.61,-28.01,-33.33,42.46039822
0.093,0.014,1.009,0.38,-0.03,-6.84,2.56,-5.08,-61.77,31.82,-27.25,-34.12,40.57607643
0.096,0.028,1.044,-0.51,-0.57,-7.21,2.6,-5.09,-62.45,31.82,-27.25,-34.12,40.57607643
0.108,0.018,0.97,0.64,-0.7,-6.87,2.65,-5.14,-63.14,30.4,-27.44,-33.53,42.07040654
0.1,0.019,1.045,-0.19,-1.02,-7.15,2.71,-5.22,-63.84,30.81,-28.59,-33.53,42.85963876
0.119,0.016,0.955,0.06,-1.02,-7.06,2.77,-5.3,-64.53,32.02,-27.06,-34.31,40.20104603
0.102,0.026,1.022,-0.1,-0.78,-7.21,2.8,-5.37,-65.23,27.98,-28.97,-34.71,45.99591061
0.119,0.025,0.98,0.46,-0.24,-7.04,2.85,-5.39,-65.93,27.98,-28.97,-34.71,45.99591061
0.105,0.029,0.985,-0.09,0.64,-7.09,2.89,-5.37,-66.64,28.79,-27.06,-34.31,43.22578309
0.11,0.029,1.02,-0.16,1.39,-6.9,2.89,-5.31,-67.33,27.58,-27.06,-32.35,44.45474184
0.11,0.029,1.038,-0.34,1.22,-7.1,2.93,-5.19,-68.01,29.39,-26.1,-32.55,41.60690759
0.104,0.03,0.969,-0.7,1.48,-6.7,2.92,-5.07,-68.69,29.19,-27.44,-32.75,43.22998913
0.093,0.021,0.963,-0.55,0.72,-6.64,2.92,-4.96,-69.36,29.19,-27.44,-32.75,43.22998913
0.104,0.029,1.004,-0.93,0.07,-6.97,2.88,-4.91,-70.02,29.19,-27.44,-32.75,43.22998913
0.114,-0.016,1.001,0.36,0.08,-6.73,2.84,-4.89,-70.69,28.18,-25.33,-32.16,41.95124599
0.097,-0.002,1.03,-0.23,-0.79,-6.66,2.81,-4.91,-71.36,25.96,-28.59,-34.31,47.76024394
0.117,-0.009,1.017,0.33,-0.67,-6.2,2.8,-4.95,-72.02,25.96,-28.59,-34.31,47.76024394
0.103,0.018,0.991,-0.6,-0.27,-6.87,2.73,-5.02,-72.69,26.57,-23.42,-32.55,41.39441088
0.098,0.011,0.97,0.04,-0.8,-6.74,2.73,-5.06,-73.36,26.16,-26.48,-31.37,45.34829832
0.094,0.012,0.99,-0.33,-0.61,-6.68,2.71,-5.11,-74.03,25.96,-27.44,-31.57,46.58756651
0.103,0.019,0.992,0,-0.45,-6.42,2.74,-5.15,-74.69,25.76,-24.19,-33.33,43.19970434
0.111,0.026,0.967,0.18,-0.88,-6.32,2.77,-5.19,-75.33,25.76,-24.19,-33.33,43.19970434
0.114,0.026,1.025,0.05,-0.09,-6.15,2.79,-5.24,-75.96,25.76,-24.19,-33.33,43.19970434
0.11,0.011,0.989,0.6,-0.42,-6.14,2.82,-5.3,-76.57,25.15,-26.29,-31.18,46.26956645
0.125,0.018,1.017,0.35,0.62,-6.04,2.87,-5.31,-77.16,24.34,-25.53,-31.96,46.36693485
0.119,0.041,1.04,0.57,-0.16,-5.79,2.94,-5.3,-77.74,23.74,-26.1,-31.37,47.71101755
0.103,0.009,0.99,0.7,0.4,-5.5,3.01,-5.27,-78.29,23.74,-26.1,-31.37,47.71101755
0.116,0.034,1,0.88,0.78,-4.88,3.08,-5.23,-78.81,23.54,-25.53,-31.96,47.32231824
0.109,0.031,1.017,0.63,0.57,-5.18,3.16,-5.17,-79.31,23.74,-26.1,-31.76,47.71101755
0.108,0.04,1.006,-0.26,0.53,-4.38,3.2,-5.12,-79.77,23.74,-25.33,-30.2,46.85588805
0.087,0.055,0.959,-0.36,0.04,-4.49,3.2,-5.09,-80.21,23.74,-25.33,-30.98,46.85588805
0.109,0.026,1.006,-0.83,-0.01,-4.05,3.17,-5.06,-80.62,23.74,-25.33,-30.98,46.85588805
0.109,0.03,0.988,-0.25,0.23,-3.41,3.13,-5.04,-80.99,22.32,-26.29,-29.61,49.66900896
0.105,0.037,1.015,-0.93,-0.26,-3.43,3.06,-5.05,-81.35,22.53,-26.48,-30.2,49.60783921
0.108,-0.002,1.002,-0.26,0.1,-3.2,2.99,-5.05,-81.69,21.11,-25.53,-30.78,50.41366342
0.098,0.044,0.995,-0.9,-0.17,-2.97,2.91,-5.06,-82,21.11,-25.53,-30.78,50.41366342
0.112,-0.009,1.007,0.37,-0.25,-3.32,2.84,-5.07,-82.32,20.91,-24.57,-32.16,49.60095891
0.109,0.026,0.974,0.04,0.24,-3.3,2.79,-5.08,-82.64,23.74,-24.95,-31.37,46.42357007
0.112,0.013,1.017,-0.04,-0.01,-3.31,2.77,-5.1,-82.96,22.53,-26.1,-31.76,49.19863597
0.102,0.008,1.016,1.03,0.02,-3.37,2.81,-5.1,-83.28,22.53,-24.19,-30.98,47.03491011
0.103,0.048,0.97,0.31,0,-3.18,2.86,-5.13,-83.58,22.53,-24.19,-30.98,47.03491011
0.107,0.012,0.982,1.56,0.1,-3.08,2.92,-5.14,-83.88,22.32,-25.53,-30.78,48.83791629
0.11,0.04,0.965,0.8,0.23,-2.81,3.02,-5.15,-84.17,21.11,-25.53,-30.39,50.41366342
0.109,0.019,1.007,0.4,-0.33,-2.13,3.08,-5.16,-84.42,20.51,-26.1,-32.16,51.83889559
0.109,0.003,1.016,1.06,0.03,-2.23,3.13,-5.16,-84.66,21.72,-24.95,-31.76,48.95909001
0.099,0.043,0.988,-0.25,0.2,-2.02,3.16,-5.18,-84.87,21.72,-24.95,-31.76,48.95909001
0.111,0.006,1.027,0.34,0.12,-2.2,3.12,-5.2,-85.07,22.53,-24.19,-31.76,47.03491011
0.113,0.043,0.964,-0.45,-0.2,-1.63,3.11,-5.19,-85.26,21.31,-24.57,-30.98,49.06431657
0.101,0.033,1.036,-0.54,-0.14,-1.68,3.07,-5.18,-85.42,20.91,-26.1,-30.59,51.30005742
0.106,0.023,1.01,0.45,0.24,-1.42,3.01,-5.19,-85.57,21.11,-24.76,-30.39,49.54959395
0.1,0.053,0.971,-1.01,-0.49,-1.27,2.95,-5.21,-85.71,21.11,-24.76,-30.39,49.54959395
0.1,0,0.991,0.25,-0.23,-1.2,2.9,-5.24,-85.83,20.71,-25.14,-31.57,50.51875393
0.104,0.04,0.966,-0.67,-0.02,-1.43,2.85,-5.27,-85.95,21.72,-23.8,-30.98,47.61626496
0.106,0.015,0.989,0.02,-0.07,-1.23,2.77,-5.32,-86.06,19.9,-25.91,-30.39,52.47417957
0.115,0.013,0.989,1.11,0.24,-1.16,2.7,-5.36,-86.17,19.9,-25.91,-30.39,52.47417957
0.104,0.045,0.993,-0.19,0.08,-1.11,2.7,-5.38,-86.28,20.1,-24.57,-31.37,50.71440295
0.112,0.002,1.008,1.61,0.58,-0.91,2.72,-5.38,-86.37,19.7,-26.1,-31.37,52.95488645
0.095,0.036,0.999,0.33,-0.05,-0.88,2.77,-5.37,-86.46,19.7,-26.1,-31.37,52.95488645
0.114,-0.005,1.051,1.21,0.52,-0.48,2.85,-5.34,-86.52,19.7,-26.1,-31.37,52.95488645
0.106,0.043,1.004,0.77,-0.05,-0.37,2.93,-5.33,-86.57,19.7,-26.1,-31.37,52.95488645
0.103,0,1.014,1.19,0.43,-0.16,3,-5.32,-86.62,21.11,-25.14,-30,49.97989756
0.101,0.03,0.972,1,0.39,-0.66,3.04,-5.33,-86.65,21.11,-25.14,-30,49.97989756
0.103,0.033,0.992,0.39,-0.24,-0.35,3.08,-5.35,-86.66,21.52,-23.61,-30.78,47.65151079
0.104,0.011,0.968,0.82,0.26,0.06,3.09,-5.37,-86.66,20.51,-25.33,-30.2,51.00249951
0.104,0.053,0.995,-0.26,-0.17,0.09,3.06,-5.38,-86.65,20.51,-25.33,-30.2,51.00249951
0.108,0.008,1.005,0.22,-0.08,-0.03,3.02,-5.37,-86.65,21.31,-25.72,-29.41,50.35695723
0.116,0.044,0.981,-0.37,0.42,0.11,2.98,-5.37,-86.64,21.92,-25.14,-30,48.91426478
0.118,0.016,1.013,-0.88,0.23,0.16,2.91,-5.36,-86.62,20.1,-24.95,-32.55,51.14469143
0.101,0.023,0.968,-0.28,0.27,0.21,2.83,-5.35,-86.59,20.1,-24.95,-32.55,51.14469143
0.101,0.033,0.982,-1.79,0.09,0.24,2.72,-5.35,-86.57,19.9,-25.53,-30.78,52.06447134
0.11,0.009,1.004,0.22,0.51,0.08,2.6,-5.37,-86.54,20.51,-24.19,-32.16,49.70635442
0.099,0.036,0.965,-0.4,-0.32,0.44,2.51,-5.4,-86.51,21.31,-25.33,-29.8,49.92626898
0.108,-0.001,1.013,0.48,-0.24,0.51,2.48,-5.44,-86.47,21.52,-23.61,-30,47.65151079
0.099,0.044,0.98,0.38,-0.55,0.36,2.49,-5.47,-86.42,21.52,-23.61,-30,47.65151079
0.105,0,0.979,1.44,-0.27,0.49,2.54,-5.51,-86.38,20.51,-25.72,-30.59,51.42995434
0.11,0.034,1.015,1.52,0.12,0.6,2.6,-5.54,-86.33,20.71,-26.29,-30.39,51.77065733
0.107,0.019,1.02,0.88,-0.24,0.44,2.68,-5.57,-86.26,20.91,-23.8,-31.37,48.69838437
0.106,0.003,0.983,2,-0.07,0.43,2.78,-5.58,-86.19,22.53,-27.63,-30.59,50.80557717
0.097,0.034,0.951,0.46,0.14,0.33,2.87,-5.58,-86.13,22.53,-27.63,-30.59,50.80557717
0.099,0.037,0.948,1.44,0.07,0.72,2.96,-5.57,-86.06,21.52,-25.14,-31.18,49.43626404
0.103,0.037,0.968,0.28,-0.06,0.88,3.03,-5.56,-85.97,19.49,-24,-29.22,50.92052416
0.106,0.015,0.98,1.2,0.23,0.85,3.08,-5.56,-85.87,20.51,-26.48,-31.37,52.24054095
0.099,0.058,1.006,0.16,0.03,1.21,3.09,-5.56,-85.75,20.3,-24.38,-30.78,50.21755256
0.11,0.009,1.036,0.69,0.32,1.1,3.09,-5.56,-85.63,20.3,-24.38,-30.78,50.21755256
0.104,0.039,0.99,-0.59,0.05,1.52,3.07,-5.56,-85.49,21.31,-24.95,-32.16,49.49908793
0.109,0.002,1.001,0.31,0.29,1.35,3,-5.57,-85.34,21.52,-24.38,-31.96,48.56545435
0.101,0.051,0.956,-1.33,-0.6,1.64,2.91,-5.6,-85.19,21.11,-23.61,-31.57,48.19969837
0.111,0.005,1.006,0.33,-0.09,1.35,2.79,-5.61,-85.05,21.11,-23.61,-31.57,48.19969837
0.097,0.046,0.973,-1.26,0.19,1.16,2.69,-5.62,-84.9,20.71,-26.67,-31.57,52.1696624
0.114,0.005,1.012,0.19,0.31,1.49,2.61,-5.63,-84.76,21.92,-24,-31.96,47.59350644
0.104,0.041,0.993,-0.63,0.06,1.66,2.54,-5.63,-84.61,21.92,-24,-31.96,47.59350644
0.113,-0.002,0.994,0.52,0.24,1.57,2.5,-5.62,-84.45,20.3,-24,-30.39,49.77434518
0.1,0.034,0.989,0.25,0.15,1.66,2.51,-5.6,-84.29,20.3,-24,-30.39,49.77434518
0.099,0.005,1.015,0.67,-0.05,1.59,2.52,-5.58,-84.12,20.3,-24,-30.39,49.77434518
0.111,0.042,1.008,0.99,0.19,1.88,2.57,-5.57,-83.96,23.54,-26.29,-31.96,48.15881443
0.104,-0.001,1.001,0.98,0.1,1.79,2.64,-5.59,-83.78,23.54,-26.29,-31.96,48.15881443
0.102,0.036,0.988,1.74,0.16,2.06,2.7,-5.64,-83.6,22.53,-26.48,-30.98,49.60783921
0.108,0.02,1.014,0.76,-0.17,2.31,2.78,-5.69,-83.41,22.53,-26.48,-30.98,49.60783921
0.102,0.029,0.977,1.04,-0.41,1.84,2.87,-5.76,-83.22,22.53,-26.48,-30.98,49.60783921
0.11,0.02,1.002,0.4,-0.17,1.88,2.93,-5.82,-83.02,22.73,-25.14,-31.96,47.88210455
0.106,0.041,0.984,0.75,0.02,2.13,2.9,-5.87,-82.81,22.12,-24.95,-32.16,48.44066501
0.117,0.017,0.99,0.34,-0.01,2.02,2.86,-5.9,-82.6,23.74,-26.1,-31.37,47.71101755
0.112,0.006,1.009,0.17,0.11,2.48,2.79,-5.89,-82.38,23.74,-26.1,-31.37,47.71101755
0.109,0.004,1.022,0.35,0.57,2.33,2.71,-5.86,-82.15,22.32,-25.91,-30.39,49.25696088
0.105,0.002,1.012,-0.25,0.65,2.31,2.6,-5.82,-81.91,22.12,-25.72,-30.59,49.30344452
0.109,0.004,1.017,-0.1,0.57,2.66,2.54,-5.79,-81.68,22.32,-25.91,-30.78,49.25696088
0.106,-0.004,1,0.61,0.3,2.47,2.46,-5.76,-81.43,22.32,-25.91,-30.78,49.25696088
0.104,0.004,0.981,0.19,-0.35,2.92,2.41,-5.75,-81.17,24.95,-25.72,-32.55,45.87062077
0.106,0.011,0.99,0.07,-0.55,2.96,2.38,-5.77,-80.9,23.54,-25.14,-31.96,46.88250324
0.1,0.033,0.977,0.31,-0.73,2.64,2.37,-5.8,-80.63,22.93,-23.04,-32.16,45.1371008
0.105,-0.004,1.052,0.84,-0.55,2.54,2.37,-5.83,-80.37,24.14,-24.95,-31.37,45.94531209
0.106,0,1.03,1.16,-0.01,2.67,2.41,-5.87,-80.11,24.14,-24.95,-31.37,45.94531209
0.11,0.03,1.003,0.57,0.12,2.59,2.44,-5.9,-79.84,24.14,-22.28,-31.37,42.70544655
0.103,0.052,0.984,0.79,0.16,2.84,2.5,-5.92,-79.57,23.74,-24.57,-32.94,45.98428521
0.104,0.048,0.964,1.54,0.34,2.77,2.58,-5.92,-79.3,22.12,-26.48,-32.55,50.1263918
0.104,0.028,0.958,1.63,0.29,2.87,2.67,-5.92,-79.02,23.13,-26.29,-31.18,48.65861021
0.113,0.012,1.018,0.9,0.42,2.93,2.72,-5.91,-78.74,23.13,-26.29,-31.18,48.65861021
0.095,0.057,0.983,-0.03,0.34,2.84,2.74,-5.9,-78.45,23.13,-26.29,-31.18,48.65861021
0.099,0.06,1.002,-0.33,0.01,2.68,2.74,-5.9,-78.17,24.55,-25.33,-32.94,45.89589146
0.101,0.057,0.979,-0.11,-0.2,2.81,2.72,-5.91,-77.89,24.75,-25.14,-30.78,45.44788332
0.105,0.013,1.001,0.58,0.27,2.74,2.67,-5.91,-77.61,22.53,-26.1,-30.2,49.19863597
0.113,-0.003,0.997,0,0.08,3.15,2.61,-5.93,-77.33,22.53,-26.1,-30.2,49.19863597
0.1,0.01,1.003,0.66,-0.13,3.03,2.52,-5.95,-77.03,25.76,-25.72,-32.16,44.95548114
0.107,-0.012,1.002,0.32,-0.37,2.9,2.48,-5.96,-76.74,24.55,-27.25,-31.76,47.98375935
0.099,0.033,0.966,-0.33,-0.35,3.11,2.45,-5.97,-76.45,25.15,-27.06,-33.92,47.09511891
0.094,0.057,0.995,-0.29,-0.01,2.97,2.39,-5.98,-76.14,25.15,-27.06,-33.92,47.09511891
0.111,0.02,1.031,0.95,0.62,3.25,2.36,-5.97,-75.83,24.34,-27.82,-31.18,48.8169911
0.103,0.03,1.011,-0.89,0.24,2.71,2.33,-5.97,-75.52,25.76,-25.33,-32.55,44.51778032
0.107,0.007,1.027,0.33,0.54,2.93,2.29,-5.96,-75.21,26.16,-24.95,-32.94,43.64380854
0.098,0.039,0.973,-0.31,-0.17,3.04,2.29,-5.97,-74.91,27.37,-25.72,-32.55,43.21986033
0.101,0.028,0.981,1.02,0.11,2.86,2.28,-5.99,-74.62,27.37,-25.72,-32.55,43.21986033
0.098,0.033,0.961,0.39,-0.45,2.75,2.3,-6.02,-74.34,27.37,-25.72,-32.55,43.21986033
0.109,0.033,1.001,1.51,-0.16,2.61,2.34,-6.06,-74.06,27.78,-27.63,-32.94,44.8448954
0.094,0.014,0.997,1.7,-0.6,2.54,2.39,-6.1,-73.78,27.78,-27.63,-32.94,44.8448954
