Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.096,0.042,0.976,0.6,-0.24,3.93,0.6,-6.04,-27.14,39.7,-36.62,-36.67,42.68900299
0.099,0.012,1.009,2.29,-0.16,4.35,0.71,-6.06,-26.71,39.7,-36.62,-36.67,42.68900299
0.1,0.047,1.005,0.5,-0.22,4.34,0.82,-6.1,-26.28,41.31,-37.76,-36.27,42.42932192
0.096,0.03,1.016,0.66,-0.48,4.6,0.93,-6.14,-25.84,41.11,-39.87,-36.86,44.12273136
0.096,0.058,1.002,0.05,-0.45,4.68,1,-6.17,-25.4,41.72,-37.76,-34.71,42.14766206
0.108,0.028,0.952,1.17,0.42,4.68,1.04,-6.17,-24.94,41.11,-37.57,-36.08,42.42386421
0.096,0.028,0.861,0.51,-0.56,5.09,1.05,-6.14,-24.48,41.11,-37.57,-36.08,42.42386421
0.122,0.037,1.063,-0.26,0.84,4.96,1,-6.07,-24,40.71,-38.72,-36.86,43.56484005
0.115,0.034,1.088,-0.34,1.32,4.81,0.93,-5.96,-23.51,42.73,-40.63,-36.47,43.55691347
0.12,0.067,1.011,-1.26,2.68,5.01,0.83,-5.83,-23.01,42.53,-40.44,-37.06,43.55703434
0.101,0.025,0.933,-0.7,1.12,5.13,0.72,-5.71,-22.5,42.12,-40.06,-35.88,43.56407163
0.089,0.026,0.897,-0.64,0.56,5.47,0.62,-5.62,-21.98,42.12,-40.06,-35.88,43.56407163
0.116,0.025,1.026,-0.16,-1,5.59,0.54,-5.58,-21.44,41.92,-39.87,-35.69,43.56422837
0.11,0.016,1.083,0.08,-0.13,5.58,0.49,-5.59,-20.9,41.52,-41.01,-36.08,44.64594117
0.092,0.019,1.06,0.69,-0.89,5.53,0.45,-5.65,-20.36,42.53,-42.35,-36.27,44.87849641
0.08,0.004,0.91,0.4,-1.78,5.53,0.44,-5.74,-19.82,42.53,-42.35,-36.27,44.87849641
0.097,0.021,0.9,0.5,-1.06,5.35,0.44,-5.84,-19.29,43.13,-41.01,-34.9,43.55667509
0.092,0.015,0.92,0.8,-1.52,5.31,0.45,-5.94,-18.76,42.53,-41.2,-37.06,44.08996801
0.108,0.031,0.993,0.71,-0.34,5.52,0.48,-6.02,-18.24,42.93,-42.35,-37.84,44.61033021
0.111,0.032,0.998,0.81,-0.33,5.45,0.53,-6.08,-17.72,42.93,-42.35,-37.84,44.61033021
0.116,0.026,1.016,0.56,-0.1,5.5,0.56,-6.09,-17.2,42.93,-42.35,-37.84,44.61033021
0.103,0.037,0.97,0.26,0.7,5.46,0.58,-6.08,-16.67,43.13,-42.54,-37.25,44.60541642
0.111,0.025,1.006,0.21,0.38,5.16,0.59,-6.05,-16.13,43.13,-42.93,-36.86,44.86684714
0.107,0.029,0.989,0.43,0.59,5.53,0.62,-6,-15.59,44.55,-44.26,-35.88,44.81290714
