time,latitude,longitude,altitude,position_covariance
2024-07-12 15:27:15.883616,36.537720166666666,128.8088725,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:17.885324,36.537719833333334,128.80887216666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:19.985310,36.5377195,128.80887216666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:22.085280,36.537719,128.80887266666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:24.185310,36.5377185,128.80887183333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:26.285289,36.537717666666666,128.80887183333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:28.385256,36.5377265,128.80888433333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:30.585275,36.537683333333334,128.80883433333332,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:30.994183,36.537676833333336,128.80884916666668,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:33.185270,36.53767633333333,128.8088395,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:35.485243,36.537676,128.80883116666666,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:37.785280,36.537675666666665,128.80882466666668,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:40.085295,36.5376755,128.80881583333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:42.385308,36.537675166666666,128.80880883333333,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:44.685281,36.537674833333334,128.808804,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:45.285345,36.53767366666667,128.80879283333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:47.685281,36.537673833333336,128.80879283333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:50.085497,36.537674,128.80879333333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:52.485287,36.53767416666667,128.80879383333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:54.885295,36.537674333333335,128.80879466666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:57.285279,36.5376745,128.8087955,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:27:59.000711,36.53767766666667,128.80880233333335,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:01.485271,36.53767883333333,128.80880266666668,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:04.085376,36.53767883333333,128.808804,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:06.585269,36.53767883333333,128.80880566666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:09.085293,36.53767916666666,128.80880733333333,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:11.585105,36.53767933333334,128.8088085,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:12.009304,36.537685833333335,128.8088415,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:14.285372,36.537688,128.80884666666665,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:16.683616,36.5376895,128.808851,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:19.083564,36.53769033333333,128.808854,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:21.485398,36.537692,128.80885516666666,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:23.885353,36.53769283333333,128.80885583333333,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:25.008619,36.537693833333336,128.8088615,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:27.385326,36.537694,128.80886216666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:29.885501,36.53769416666667,128.80886283333334,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:32.385278,36.537694333333334,128.808863,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:34.885266,36.5376945,128.80886333333333,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:37.385261,36.53769466666667,128.80886366666667,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:38.008040,36.53769533333333,128.80886633333333,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:40.385282,36.5376955,128.80886666666666,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:42.885550,36.537695666666664,128.80886683333333,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:45.385266,36.53769583333333,128.808867,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:47.885286,36.53769616666666,128.808867,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:50.185270,36.537697666666666,128.80886933333332,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
2024-07-12 15:28:52.685453,36.53769916666667,128.80887166666668,120724.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
